"as_of_date","borrower_contract_reference_number","borrower_country","borrower_country_code","contract_description","contract_signing_date","fiscal_year","major_sector","procurement_category","procurement_method","procurement_type","product_line","project_id","project_name","region","supplier","supplier_contract_amount_usd","supplier_country","supplier_country_code","wb_contract_number"
"2018-04-10T00:00:00.000","PIU/HSSP:05/2016 TA","Liberia","LR","For the Provision of Consulting Services As: Specialist Phys","2016-07-01T00:00:00.000","2017","Education","CONSULTANT SERVICES","Single Source Selection","Training Services","IBRD/IDA","P128909","LR-Health Systems Strengthening (FY13)","AFRICA","JOHN V. SSENTAMU","235360.00","Uganda","UG","1541670"
"2018-04-10T00:00:00.000","CONTRAT NÂºAPIX/01/16","Senegal","SN","Recrutement d'un Chef de l'Unite environnementale du Projet","2016-08-01T00:00:00.000","2017","Transportation","CONSULTANT SERVICES","Consultant Qualification  Selection","Project Management","IBRD/IDA","P087304","SN-Dakar -Diamniado Toll Highway Project","AFRICA","YATMA DIEYE","30525.12","France","FR","1542980"
"2018-04-10T00:00:00.000","ERRP: 03/2016","Western Africa","3W","Consultant Services for Manager, Minister Delivery Unit","2016-07-06T00:00:00.000","2017","Social Protection","CONSULTANT SERVICES","Single Source Selection","Management /Technical Advice","IBRD/IDA","P152359","Ebola Emergency Response Project","AFRICA","S. TORNORLAH VARPILAH","104400.00","Liberia","LR","1549374"
"2018-04-10T00:00:00.000","#","Central African","CF","LETTRE DE MARCHE- ACQUISITION DES VELOS DES BENEFICIAIRES DE","2016-07-04T00:00:00.000","2017","(H)Health & social","GOODS","Direct Selection","Equipment, Transportation","IBRD/IDA","P152512","CF - LONDO ('Stand-Up') Project","AFRICA","ETABLISSEMENT LES DEUX FRERES","56217.10","Central African","CF","1541604"
"2018-04-10T00:00:00.000","NÃÂ° 61/PROFIT/COREF/CN/PM/07/2","Congo, Democrat","ZR","ACQUISITION DES MATERIELS INFORMATIQUES POUR 75 CADRES ET AG","2016-07-16T00:00:00.000","2017","Public Admin","GOODS","National Competitive Bidding","Equipment Information Technology","IBRD/IDA","P145747","DRC: Strengthening PFMA","AFRICA","ESSOR EQUIPEMENT","1437860.10","Congo, Democrat","ZR","1542065"
"2018-04-10T00:00:00.000","NO. 59/PROFIT/COREF/CN/PM/07/201","Congo, Democrat","ZR","ACQUISITION DE 200 MOTOS POUR LES REGIES FINANCIERES DES PRO","2016-09-01T00:00:00.000","2017","Public Admin","GOODS","National Competitive Bidding","Equipment, Transportation","IBRD/IDA","P145747","DRC: Strengthening PFMA","AFRICA","CFAO - MOTORS","590000.00","Congo, Democrat","ZR","1542863"
"2018-04-10T00:00:00.000","NO. 60/PROFIT/COREF/CN/PM/07/201","Congo, Democrat","ZR","ACQUISITION DES FOURNITURES ET PETITS MATERIELS DE BUREAU PO","2016-07-15T00:00:00.000","2017","Public Admin","GOODS","National Competitive Bidding","Miscellaneous","IBRD/IDA","P145747","DRC: Strengthening PFMA","AFRICA","M INTERCOM","305402.57","Congo, Democrat","ZR","1546479"
"2018-04-10T00:00:00.000","NO. 065/MITP/CI/PRO-ROUTES/2016","Congo, Democrat","ZR","CONTRAT DE CONTRACTUEL POUR PRESTATION DE SERVICES AU POSTE","2016-07-01T00:00:00.000","2017","Transportation","CONSULTANT SERVICES","Single Source Selection","Project Management","IBRD/IDA","P101745","High Priority Reopening & Maintenance","AFRICA","CYRILLE KIBULU KAPASA","43400.00","Congo, Democrat","ZR","1542206"
"2018-04-10T00:00:00.000","ICTA/KTCIP/ICB/DC/2/2016","Africa","3A","Implementation of Framework contracts and shared services pl","2016-07-30T00:00:00.000","2017","Info & Communication","CONSULTANT SERVICES","Single Source Selection","ICT/Telecommunications Services","IBRD/IDA","P094103","Telecommunications APL (FY07)","AFRICA","MICROSOFT IRELAND OPERATIONS LIMITED","5974204.81","Ireland","IE","1544353"
"2018-04-10T00:00:00.000","AGREEMENT FOR PROCUREMENT OF VEH","Cameroon","CM","AGREEMENT FOR THE PROCUREMENT OF VEHICLES FOR PRODEL, BETWEE","2016-11-22T00:00:00.000","2017","Agriculture","GOODS","Direct Selection","Equipment, Transportation","IBRD/IDA","P112635","CM-Agricultural Competitiveness Project","AFRICA","UNOPS","85112.55","Denmark","DK","1544585"
"2018-04-10T00:00:00.000","AGREEMENT FOR THE PROCUREMENT OF","Cameroon","CM","AGREEMENT FOR THE PROCUREMENT OF VEHICULES FOR PRODEL BETWEE","2016-11-22T00:00:00.000","2017","Agriculture","GOODS","Direct Selection","Equipment, Transportation","IBRD/IDA","P112635","CM-Agricultural Competitiveness Project","AFRICA","UNOPS","226155.28","Denmark","DK","1544586"
"2018-04-10T00:00:00.000","039/MITP/CI/PRO-ROUTES/2016","Congo, Democrat","ZR","Contrat de Contractuel Prestation de services au poste de Ch","2016-07-01T00:00:00.000","2017","Transportation","CONSULTANT SERVICES","Single Source Selection","Project Management","IBRD/IDA","P101745","High Priority Reopening & Maintenance","AFRICA","BUNDOKI NDONGALA","100000.00","Congo, Democrat","ZR","1542190"
"2018-04-10T00:00:00.000","S012/MPMEF/DGDI/16","Cote d'Ivoire","CI","Formation en Audit interne des cadres de la division et regu","2016-07-14T00:00:00.000","2017","Public Admin","CONSULTANT SERVICES","Single Source Selection","Audit Services","IBRD/IDA","P107355","CI-Governance and Institutional Dev.","AFRICA","IIA-CI","73240.01","Cote d'Ivoire","CI","1543110"
"2018-04-10T00:00:00.000","01-2011/ZAWA/FD/DNPW","Africa","3A","Employment contract","2016-07-30T00:00:00.000","2017","Agriculture","CONSULTANT SERVICES","Single Source Selection","Procurement Technical Assistance","GEF","P108879","Nyika Transfrontier Conserv.","AFRICA","LEO LWIZI","69787.88","Zambia","ZM","1542589"
"2018-04-10T00:00:00.000","SC042 CR IDA48460-CG-2016","Congo, Republic","CG","Prestations de services pour l'ÃÂ©laboration de la carthogr","2016-07-26T00:00:00.000","2017","Industry & Trade/Ser","CONSULTANT SERVICES","Consultant Qualification  Selection","Management /Technical Advice","IBRD/IDA","P118561","CG Support to Economic Diversification","AFRICA","CABINET ARC INGENIEURE","248973.55","Cote d'Ivoire","CI","1542211"
"2018-04-10T00:00:00.000","NÃÂ°19/CI/UCP-PSTAT/16","Congo, Republic","CG","CONTRAT DE SERVICE DEMOGRAPHE POUR L'APPUI A L'EDS A L'INS","2016-07-07T00:00:00.000","2017","Public Admin","CONSULTANT SERVICES","Single Source Selection","Statistical Services","IBRD/IDA","P133731","CG-Statistics Capacity Building Project","AFRICA","KAMBO GUERE KOMONZO CLAUDE CHRISTIAN","3061.03","Congo, Republic","CG","1544226"
"2018-04-10T00:00:00.000","#","Ethiopia","ET","Contract amendment for supply and installation of lab equipm","2016-07-07T00:00:00.000","2017","Water/Sanit/Waste","GOODS","International Competitive Bidding","Raw Materials, Chemicals, Commodities","IBRD/IDA","P096323","ET-Tana &Beles Int.  Wat Res Dev Project","AFRICA","GLOBE CORPORATION","1885467.25","Netherlands","NL","1541948"
"2018-04-10T00:00:00.000","PIU/HSSP:08/2016 TA","Liberia","LR","Consulting Services as Administrative Assistant.","2016-07-11T00:00:00.000","2017","Education","CONSULTANT SERVICES","Single Source Selection","Administrative Services","IBRD/IDA","P128909","LR-Health Systems Strengthening (FY13)","AFRICA","MOSES BALLAH","23400.00","Liberia","LR","1541628"
"2018-04-10T00:00:00.000","RFRDP/00715/C","Rwanda","RW","Supervision Services for Rehabilitation, Upgrading and Multi","2016-08-12T00:00:00.000","2017","Transportation","CONSULTANT SERVICES","Quality And Cost-Based Selection","Construction Supervision","IBRD/IDA","P126498","RW: Feeder Roads Development","AFRICA","HYCOGEC CONSULTANT","700317.92","Rwanda","RW","1543820"
"2018-04-10T00:00:00.000","NR/001/2016/HCQVN/P_KRESMIN","Western Africa","3W","Recencement populations et plan action reinstallation (PAR)","2016-07-06T00:00:00.000","2017","Agriculture","CONSULTANT SERVICES","Quality And Cost-Based Selection","Management /Technical Advice","IBRD/IDA","P130174","3A-Niger Basin Water Resources 2A","AFRICA","TRACTEBEL ENGINEERING, S.A.","1070414.60","Belgium","BE","1545361"
"2018-04-10T00:00:00.000","SH-PAT/G-01/14-005","Angola","AO","Purchase of 1000 Small Library Kits","2016-07-13T00:00:00.000","2017","Education","GOODS","Direct Selection","Equipment, Educational","IBRD/IDA","P122700","AO - Learning for All Project","AFRICA","PLURAL EDITORES","226142.70","Angola","AO","1541710"
"2018-04-10T00:00:00.000","#","Gabon","GA","Supply & installation of Gabon's national backbone equipment","2016-07-27T00:00:00.000","2017","Info & Communication","GOODS","International Competitive Bidding","Equipment Information Technology","IBRD/IDA","P122776","Central African Backbone-APL - Gabon","AFRICA","HUAWEI TECHNOLOGIES","2922741.00","China","CN","1545333"
"2018-04-10T00:00:00.000","MGCSP/EPAG/CQS/ECD/003/'6/'17","Liberia","LR","Component 3: Early Childhood Development, life skills, and b","2016-07-11T00:00:00.000","2017","Education","CONSULTANT SERVICES","Consultant Qualification  Selection","Training Services","Recipient Executed A","P110571","Econ Empowerment of Adolescent Girls","AFRICA","CHILDREN ASSISTANCE PROGRAM (CAP)","102000.00","Liberia","LR","1541798"
"2018-04-10T00:00:00.000","024/FIRCA-WAAPP/2016","Western Africa","3W","Projet de diffusion de briaueteuse de balles de riz et d'equ","2016-08-02T00:00:00.000","2017","Agriculture","CONSULTANT SERVICES","Single Source Selection","Management /Technical Advice","IBRD/IDA","P122065","West Africa Agric Prod Progrm (WAAPP-1C)","AFRICA","MINISTERE DE LA PROMOTION DE LA FEMME","58258.41","Cote d'Ivoire","CI","1542161"
"2018-04-10T00:00:00.000","#","Cote d'Ivoire","CI","Monsieur Yeo Pefougne Abraham est engage pour Assurer la fun","2016-07-15T00:00:00.000","2017","Education","CONSULTANT SERVICES","Consultant Qualification  Selection","Administrative Services","Recipient Executed A","P119328","CI - Emerg.Basic Edu Supp Proj (BESP)","AFRICA","YEO PEFOUGNE ABRAHAM","10475.34","Cote d'Ivoire","CI","1542774"
"2018-04-10T00:00:00.000","EMUS/GDS/ST-FEL/45/07/16","Liberia","LR","Contract between MCC/EMUS and MECOMAR S.A for the Supply & D","2016-07-19T00:00:00.000","2017","Water/Sanit/Waste","GOODS","Shopping","Equipment, Mechanical","IBRD/IDA","P115664","LR-Emergency Monrovia Urban Sanitation","AFRICA","MECOMAR S.A.","490078.00","Morocco","MA","1542046"
"2018-04-10T00:00:00.000","NO.00532/2016/AOO/MME-PDGM/T/BM/","Togo","TG","REHABILITATION DES BATIMENTS DEVANT ABRITER l'UEP DU PDGM, L","2016-09-06T00:00:00.000","2017","Energy & Extractives","CIVIL WORKS","National Competitive Bidding","Works, Maintenance and Rehabilitation","IBRD/IDA","P149277","TOGO Mining Governance and Development","AFRICA"," ENTREPRISE BECO","53392.77","Togo","TG","1545936"
"2018-04-10T00:00:00.000","018/VSBG/CG/FSRDC/05/2016","Africa","3A","ASSURER LA FORMATION DES FORMATEURS SUR LÃ¢  APPROCHE NET DA","2016-07-14T00:00:00.000","2017","(H)Health & social","CONSULTANT SERVICES","Single Source Selection","Training Services","IBRD/IDA","P147489","Great Lakes Emergency Women's Health Pr","AFRICA","VIVO INTERNATIONAL","1148778.00","Germany","DE","1541819"
"2018-04-10T00:00:00.000","NÂ°63/PROFIT/COREF/CN/PM/08/2016","Congo, Democrat","ZR","ACQUISITION DES MOBILIERS DE BUREAU POUR 75 CADRES ET AGENTS","2016-08-03T00:00:00.000","2017","Public Admin","GOODS","National Competitive Bidding","Miscellaneous","IBRD/IDA","P145747","DRC: Strengthening PFMA","AFRICA","KADAC","645477.50","Congo, Democrat","ZR","1542064"
"2018-04-10T00:00:00.000","NO. C0460","Madagascar","MG","Travaux de substitution de l'utilisation du gasoil par du fu","2016-11-02T00:00:00.000","2017","Energy & Extractives","CIVIL WORKS","International Competitive Bidding","Works, Installation","IBRD/IDA","P151785","MG-ESOGIP","AFRICA","PETRO C2G","526691.30","France","FR","1543875"
"2018-04-10T00:00:00.000","#","Malawi","MW","Contribute to strengthened nutrition service delivery platfo","2016-08-01T00:00:00.000","2017","(H)Health & social","CONSULTANT SERVICES","Quality And Cost-Based Selection","Health Services","IBRD/IDA","P125237","MW-Nutrition & HIV/AIDS Project (FY12)","AFRICA","WORLD VISION MALAWI","1951870.00","Malawi","MW","1541970"
"2018-04-10T00:00:00.000","RFRDP/00615/C","Rwanda","RW","Supervision Services for Rehabilitation, Upgrading and Multi","2016-07-22T00:00:00.000","2017","Transportation","CONSULTANT SERVICES","Quality And Cost-Based Selection","Construction Supervision","IBRD/IDA","P126498","RW: Feeder Roads Development","AFRICA","TECOS","298768.94","Rwanda","RW","1543819"
"2018-04-10T00:00:00.000","ME/022/2016/2017/CR/03","Tanzania","TZ","Consultancy Services Preparation/Updating of Engineering Des","2016-10-04T00:00:00.000","2017","Transportation","CONSULTANT SERVICES","Single Source Selection","Management /Technical Advice","IBRD/IDA","P123134","TZ-Dar es Salaam Metropolitan Project","AFRICA","SMEC INTERNATIONAL PTY LTD","763524.90","Tanzania","TZ","1543770"
"2018-04-10T00:00:00.000","ME/022/2016/2017/CR/02","Tanzania","TZ","Consultancy Services Preparation/Updating of Engineering Des","2016-10-04T00:00:00.000","2017","Transportation","CONSULTANT SERVICES","Single Source Selection","Management /Technical Advice","IBRD/IDA","P123134","TZ-Dar es Salaam Metropolitan Project","AFRICA","M/S UWP CONSULTING (T) LTD","754173.40","Tanzania","TZ","1543782"
"2018-04-10T00:00:00.000","022/PPAAO/2016","Western Africa","3W","Recrutement d'un consultant pour la maintenance, le monitori","2016-07-19T00:00:00.000","2017","Agriculture","CONSULTANT SERVICES","Single Source Selection","Management /Technical Advice","IBRD/IDA","P117148","West Africa Agric Prod Progrm (WAAPP-1B)","AFRICA","YOUZAN BI BLI FLORENT","10947.69","Cote d'Ivoire","CI","1542171"
"2018-04-10T00:00:00.000","NO. 16/CAB5/COPIREP/SE/07/2016","Africa","3A","ASSISTANCE TECHNIQUE RELATIVE A LA CONCEPTION ET A LÃ¢  ACQU","2016-07-22T00:00:00.000","2017","Info & Communication","CONSULTANT SERVICES","Quality And Cost-Based Selection","Management /Technical Advice","IBRD/IDA","P132821","Central African Backbone SOP5","AFRICA","JIDCOM","213684.75","France","FR","1551858"
"2018-04-10T00:00:00.000","012/M/MINEE/SAN-CAM/16","Cameroon","CM","LA LIVRAISON DU CIMENT A MAROUA","2016-08-03T00:00:00.000","2017","Water/Sanit/Waste","GOODS","Direct Selection","Raw Materials, Chemicals, Commodities","IBRD/IDA","P117102","CM-Sanitation APL","AFRICA","LES ETS PLINK INTERPRISE","375664.17","Cameroon","CM","1542773"
"2018-04-10T00:00:00.000","MARCHE 225/CPMP/","Western Africa","3W","39 VEHICULES POUR LE MINISTERE DE L ELEVAGE","2016-08-11T00:00:00.000","2017","Public Admin","GOODS","International Competitive Bidding","Equipment, Transportation","IBRD/IDA","P147674","Regional Sahel Pastoralism Support Proj.","AFRICA","C M D A SA KSAR","1085118.76","Mauritania","MR","1543674"
"2018-04-10T00:00:00.000","SC 041 CR IDA 48460-CG","Congo, Republic","CG","Prestations de services pour l'ÃÂ©laboration de la politiqu","2016-07-26T00:00:00.000","2017","Industry & Trade/Ser","CONSULTANT SERVICES","Consultant Qualification  Selection","Management /Technical Advice","IBRD/IDA","P118561","CG Support to Economic Diversification","AFRICA","CHARLES KRAKOFF","156831.00","United States","US","1541901"
"2018-04-10T00:00:00.000","NR/08/2016/ TRAVAUX/PRODEX/IDA","Niger","NE","Travaux de construction un marche a betail dans la commune u","2016-08-16T00:00:00.000","2017","Agriculture","CIVIL WORKS","National Competitive Bidding","Works, Building","IBRD/IDA","P095210","NE - Agro-Pastoral Export Promotion Proj","AFRICA","ENTREPRISE SAIDOU IDE","382936.87","Niger","NE","1542726"
"2018-04-10T00:00:00.000","NR/09/2016/ TRAVAUX/PRODEX/IDA","Niger","NE","Travaux de construction marche a betail  Boubon, CR Karma, D","2016-08-16T00:00:00.000","2017","Agriculture","CIVIL WORKS","National Competitive Bidding","Works, Building","IBRD/IDA","P095210","NE - Agro-Pastoral Export Promotion Proj","AFRICA","ENTREPRISE DKO","592257.73","Niger","NE","1542902"
"2018-04-10T00:00:00.000","#","Liberia","LR","Consultancy Contract for Senior National Consultant between","2016-07-18T00:00:00.000","2017","Public Admin","CONSULTANT SERVICES","Single Source Selection","Governance Services","IBRD/IDA","P143064","LR-Public Sector Modernization (FY14","AFRICA","DAVID P. KIALAIN","24500.00","Liberia","LR","1543241"
"2018-04-10T00:00:00.000","CONTRAT POUR LA FOUNIRTUER DE VO","Cameroon","CM","CONTRAT POUR LA FOUNITURE DE VOITURE","2016-08-03T00:00:00.000","2017","Agriculture","GOODS","Direct Selection","Equipment, Transportation","IBRD/IDA","P112635","CM-Agricultural Competitiveness Project","AFRICA","UNOPS, BUREAU DES SERVICES D'APPUIS","172486.26","Denmark","DK","1543945"
"2018-04-10T00:00:00.000","C-12/BCPE-PEJEDEC/2016","Cote d'Ivoire","CI","Specialiste en Environnement en appui au bureau de coordinat","2016-07-25T00:00:00.000","2017","Education","CONSULTANT SERVICES","Consultant Qualification  Selection","Environmental Studies","IBRD/IDA","P122546","CI - Emerg. Youth Empl & Skills Dev. Pro","AFRICA","TRAORE NAMORY","39667.87","Cote d'Ivoire","CI","1545861"
"2018-04-10T00:00:00.000","#","Cote d'Ivoire","CI","Elaboration du rapport d'achevement du PUAEB","2016-07-21T00:00:00.000","2017","Education","CONSULTANT SERVICES","Consultant Qualification  Selection","Administrative Services","Recipient Executed A","P119328","CI - Emerg.Basic Edu Supp Proj (BESP)","AFRICA","MONSIEUR JOSEPH NKAH","34465.75","Cote d'Ivoire","CI","1542769"
"2018-04-10T00:00:00.000","NÃÂº043/PR/PM/ME/SG/PACV/2016","Chad","TD","FOURNITURE DES EQUIPEMENTS FRIGORIFIQUES DE TRANSPORT AU PRO","2016-09-28T00:00:00.000","2017","Industry & Trade/Ser","GOODS","National Competitive Bidding","Equipment, Transportation","IBRD/IDA","P133021"," Value Chain Support Project","AFRICA","EVEREST","193724.40","Chad","TD","1543647"
"2018-04-10T00:00:00.000","CONTRAT N.013-LOGICIEL DE GESTIO","Madagascar","MG","Acquisition et installation de logiciel pour renforcer le SI","2016-07-22T00:00:00.000","2017","Financial Sector","GOODS","International Competitive Bidding","Equipment Information Technology","Recipient Executed A","P109607","MG-ACGF Financial Services (FY08)","AFRICA","EFRONT SAS","383832.80","France","FR","1543192"
"2018-04-10T00:00:00.000","025/FIRCA-WAAPP/2016","Western Africa","3W","Renforcement des capacities des acteurs sur les norms securi","2016-08-02T00:00:00.000","2017","Agriculture","CONSULTANT SERVICES","Single Source Selection","Management /Technical Advice","IBRD/IDA","P122065","West Africa Agric Prod Progrm (WAAPP-1C)","AFRICA","FIRMAGRO","82588.85","Cote d'Ivoire","CI","1542178"
"2018-04-10T00:00:00.000","034/C/MEFDDE-CAB/PFDE/2015","Congo, Republic","CG","CONTRAT DE L'EXPERT INTERNATIONAL EN SCIENCES SOCIALES AVEC","2016-07-19T00:00:00.000","2017","Agriculture","CONSULTANT SERVICES","Consultant Qualification  Selection","Social Studies","IBRD/IDA","P124085","Congo: Forest and Economic Diversificati","AFRICA","ERWANMORAND","81535.44","France","FR","1543279"
"2018-04-10T00:00:00.000","PA/003/TIRP-WB/C/003","Tanzania","TZ","Provision of Consultancy Services for Undertaking Detailed B","2016-09-09T00:00:00.000","2017","Transportation","CONSULTANT SERVICES","Single Source Selection","Construction Supervision","IBRD/IDA","P127241","TZ-Intermodal & Rail Development Project","AFRICA","CANARAIL","2837379.62","Canada","CA","1543230"
"2018-04-10T00:00:00.000","MARCHE NO336/F/CPMP/SR/PRAPSME/2","Western Africa","3W","CONTRAT DE FOURNITURE DE VACCINS PPR","2016-11-03T00:00:00.000","2017","Agriculture","GOODS","Direct Selection","Equipment, Agricultural","IBRD/IDA","P147674","Regional Sahel Pastoralism Support Proj.","AFRICA","BOTSWANA VACCINE INSTITUTE - BVI","340496.91","Botswana","BW","1544194"
"2018-04-10T00:00:00.000","NÂ° 052/2016/OMVS-IDA-C DU 01/08","Western Africa","3W","REALISATION DES ETUDES D' IMPACT DU PROJET PGIRE I","2016-08-01T00:00:00.000","2017","Water/Sanit/Waste","CONSULTANT SERVICES","Quality And Cost-Based Selection","Sector Studies","IBRD/IDA","P131323","SRB CCA & Strategic Plan Implementation","AFRICA","AIDF/CSE/CRDES","254973.95","Senegal","SN","1543291"
"2018-04-10T00:00:00.000","15.11.15/2016","Western Africa","3W","Supervision et ContrÃÂ´le  des travaux de recalibrage et en","2016-11-14T00:00:00.000","2017","Water/Sanit/Waste","CIVIL WORKS","International Competitive Bidding","Works, Infrastructure","IBRD/IDA","P131323","SRB CCA & Strategic Plan Implementation","AFRICA","GROUPEMENT AGRER/SETICO","213901.79","Belgium","BE","1547420"
"2018-04-10T00:00:00.000","NO. CFEF/PDIFM-C1/FRT/2016/09","Congo, Democrat","ZR","FOURNITURE ET IMPLEMENTATION DÃ¢  UNE SOLUTION CHEF EN MAIN","2016-11-29T00:00:00.000","2017","Financial Sector","GOODS","International Competitive Bidding","Equipment Information Technology","IBRD/IDA","P145554","DRC:Financial Infrastructure and Markets","AFRICA","BPC AG","4647000.00","Switzerland","CH","1546531"
"2018-04-10T00:00:00.000","N.C0480 COMMANDE N.96249","Madagascar","MG","FOURNITURE, INSTALLATION ET MISE EN SERVIDE DES EQUIPEMENTS","2016-10-10T00:00:00.000","2017","Energy & Extractives","GOODS","International Competitive Bidding","Equipment, Electrical","IBRD/IDA","P151785","MG-ESOGIP","AFRICA","COGELEC","597766.45","Madagascar","MG","1543314"
"2018-04-10T00:00:00.000","NO. C0470","Madagascar","MG","Fourniture, installation et mise en oeuvre des Ã©quipements","2016-10-05T00:00:00.000","2017","Energy & Extractives","CIVIL WORKS","International Competitive Bidding","Works, Installation","IBRD/IDA","P151785","MG-ESOGIP","AFRICA","COMPAGNIE INTERNATIONALE MAINTENANCE","282608.08","France","FR","1543381"
"2018-04-10T00:00:00.000","10/ED/IDA/PUAEB/2016","Cote d'Ivoire","CI","Elaboration du rapport d'achevement du PUAEB.","2016-07-22T00:00:00.000","2017","Education","CONSULTANT SERVICES","Consultant Qualification  Selection","Administrative Services","Recipient Executed A","P119328","CI - Emerg.Basic Edu Supp Proj (BESP)","AFRICA","MONSIEUR JOSEPH NKAH","34091.41","Cote d'Ivoire","CI","1544689"
"2018-04-10T00:00:00.000","NO. 092/MITP/CI/PFCGL/2016","Africa","3A","CONTRAT DE CONTRACTUEL POUR LES PRESTATIONS DE SERVICES AU P","2016-07-22T00:00:00.000","2017","Industry & Trade/Ser","CONSULTANT SERVICES","Single Source Selection","Project Management","IBRD/IDA","P151083","Great Lakes Region Trade Facilitation","AFRICA","OSCAR BADEO EWA ANZAKO","88800.00","Congo, Democrat","ZR","1542593"
